step_id,campaign_id,campaign_name,industry,sender,receiver,step_order,subject,wait_days,variant,variant_from_step
278,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
280,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
284,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
287,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,0,for {FIRST_NAME},2,True,286
289,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,288
293,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,292
286,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
288,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
292,45,BCS - Microsoft → Proofpoint (15_04),BCS,Microsoft,Proofpoint,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
303,47,Commercial - Google → Google (17_04),Commercial,Google,Google,0,for {FIRST_NAME},2,True,302
305,47,Commercial - Google → Google (17_04),Commercial,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,304
307,47,Commercial - Google → Google (17_04),Commercial,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,306
302,47,Commercial - Google → Google (17_04),Commercial,Google,Google,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
304,47,Commercial - Google → Google (17_04),Commercial,Google,Google,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
306,47,Commercial - Google → Google (17_04),Commercial,Google,Google,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
309,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,0,for {FIRST_NAME},2,True,308
311,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,310
313,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,312
308,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
310,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
312,48,Commercial - Google → Custom+Misc (17_04),Commercial,Google,Custom+Misc,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
315,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,0,for {FIRST_NAME},2,True,314
317,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,316
319,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,318
314,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
316,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
318,49,Commercial - Microsoft → Outlook (17_04),Commercial,Microsoft,Outlook,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
321,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,0,for {FIRST_NAME},2,True,320
323,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,322
325,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,324
320,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
322,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
324,50,Commercial - Microsoft → Proofpoint (17_04),Commercial,Microsoft,Proofpoint,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
327,51,EWWS - Google → Google (20_04),EWWS,Google,Google,0,for {FIRST_NAME},2,True,326
329,51,EWWS - Google → Google (20_04),EWWS,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,328
331,51,EWWS - Google → Google (20_04),EWWS,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,330
