campaign_id,campaign_name,industry,sender,receiver,month,step_id,step_order,subject,sent,leads_contacted,unique_replies,unique_opens,interested,bounced,unsubscribed
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,408,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1543,1543,14,0,1,6,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,409,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1535,1535,13,0,0,7,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,368,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,369,0,for {FIRST_NAME},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,370,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,371,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,372,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-03,373,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-04,368,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},541,541,1,0,0,2,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-04,369,0,for {FIRST_NAME},505,505,3,0,0,1,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-04,370,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},515,515,1,0,0,0,0
58,Medical Equipment - Microsoft → Proofpoint (21_04),Medical Equipment,Microsoft,Proofpoint,2026-04,371,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},514,514,0,0,0,0,0
